name,number,game_id,place,date
"Квиз, плиз! [стрим] ",#368,63995,"Везде, где есть интернет","22 сентября, Пятница"
"Квиз, плиз! ",#882,63597,Papa' S Bar & Grill,"22 сентября, Пятница"
[Гарри Поттер] Битва факультетов ,#1,63602,CLUB LIBERTY BAR,"21 сентября, Четверг"
[кино и музыка] ,#141,63590,Резиденция,"21 сентября, Четверг"
"Квиз, плиз! ",#881,63598,"Дорогая, я перезвоню","21 сентября, Четверг"
"Квиз, плиз! ",#882,63608,Chesterfield Bar,"21 сентября, Четверг"
Церемония открытия сезона игр [кино и музыка] ,,63596,Известия Hall,"21 сентября, Четверг"
[Лихие 90-е] ,#1,63594,Old School Pub,"20 сентября, Среда"
[новички] ,#881,63589,Резиденция,"20 сентября, Среда"
"Квиз, плиз! ",#881,63606,Chesterfield Bar,"20 сентября, Среда"
[кино и музыка] ,#141,63588,Резиденция,"19 сентября, Вторник"
"Квиз, плиз! ",#881,63605,Chesterfield Bar,"19 сентября, Вторник"
[Гарри Поттер] Битва факультетов ,#1,63419,Chesterfield Bar,"18 сентября, Понедельник"
"Квиз, плиз! ",#881,63587,Резиденция,"18 сентября, Понедельник"
"Квиз, плиз! ",#880,63307,Chesterfield Bar,"17 сентября, Воскресенье"
Сериалы [стрим] рашн эдишн ,#1,63678,"Везде, где есть интернет","17 сентября, Воскресенье"
[кино и музыка] ,#141,63288,Резиденция,"17 сентября, Воскресенье"
[music party] рашн эдишн ,#2,63306,Chesterfield Bar,"17 сентября, Воскресенье"
"Квиз, плиз! ",#880,63305,Chesterfield Bar,"16 сентября, Суббота"
"Квиз, плиз! [стрим] ",#367,63586,"Везде, где есть интернет","16 сентября, Суббота"
[про кино] 2000-х ,#2,63294,"Дорогая, я перезвоню","16 сентября, Суббота"
"Квиз, плиз! ",#879,63287,Резиденция,"16 сентября, Суббота"
[Ведьмак] ,#1,63289,Old School Pub,"16 сентября, Суббота"
[новички] ,#879,63304,Chesterfield Bar,"16 сентября, Суббота"
[music party] рашн эдишн ,#2,63286,Резиденция,"15 сентября, Пятница"
"Квиз, плиз! ",#880,63303,Chesterfield Bar,"15 сентября, Пятница"
"Квиз, плиз! ",#880,63297,CLUB LIBERTY BAR,"15 сентября, Пятница"
"Квиз, плиз! [стрим] ",#366,63585,"Везде, где есть интернет","15 сентября, Пятница"
"Квиз, плиз! ",#879,63292,Papa' S Bar & Grill,"15 сентября, Пятница"
[видеоигры] ,#7,63293,"Дорогая, я перезвоню","14 сентября, Четверг"
[кино и музыка] ,#141,63285,Резиденция,"14 сентября, Четверг"
[Лихие 90-е] ,#1,63295,CLUB LIBERTY BAR,"14 сентября, Четверг"
"Квиз, плиз! ",#879,63302,Chesterfield Bar,"14 сентября, Четверг"
"Квиз, плиз! ",#879,63291,Bla Bla Bar,"14 сентября, Четверг"
[Back to school] ,#1,63290,Old School Pub,"13 сентября, Среда"
[новички] ,#878,63284,Резиденция,"13 сентября, Среда"
"Квиз, плиз! ",#878,63301,Chesterfield Bar,"13 сентября, Среда"
"Квиз, плиз! ",#878,63300,Chesterfield Bar,"12 сентября, Вторник"
Кино и музыка [новички] ,#140,63283,Резиденция,"12 сентября, Вторник"
"Квиз, плиз!",,63754,Magnus Locus,"12 сентября, Вторник"
[music party] рашн эдишн ,#2,63030,Chesterfield Bar,"11 сентября, Понедельник"
"Квиз, плиз! ",#878,63282,Резиденция,"11 сентября, Понедельник"
"Квиз, плиз! ",#877,62859,Chesterfield Bar,"10 сентября, Воскресенье"
Кино и музыка [стрим] ,#87,63248,"Везде, где есть интернет","10 сентября, Воскресенье"
[видеоигры] ,#7,62843,Резиденция,"10 сентября, Воскресенье"
[Back to school] ,#1,62858,Chesterfield Bar,"10 сентября, Воскресенье"
[teens] ,#29,62851,Old School Pub,"10 сентября, Воскресенье"
"Квиз, плиз! ",#877,62857,Chesterfield Bar,"9 сентября, Суббота"
"Квиз, плиз! [стрим] ",#365,63247,"Везде, где есть интернет","9 сентября, Суббота"
[Лихие 90-е] ,#1,62850,"Дорогая, я перезвоню","9 сентября, Суббота"
"Квиз, плиз! ",#876,62842,Резиденция,"9 сентября, Суббота"
[кино и музыка] ,#140,62856,Chesterfield Bar,"9 сентября, Суббота"
"Квиз, плиз! ",#877,62845,Old School Pub,"9 сентября, Суббота"
[видеоигры] ,#7,62683,Известия Hall,"8 сентября, Пятница"
[про кино] 2000-х ,#2,62848,CLUB LIBERTY BAR,"8 сентября, Пятница"
"Квиз, плиз! ",#876,62841,Резиденция,"8 сентября, Пятница"
